tweet,label
"['fifa', 'jadi', 'nadir', 'sbagai', 'negosiatorbiar', 'smpaikanurusan', 'lgbt', 'urus', 'tuhan']",negatif
"['curah', 'hati', 'inong', 'hadap', 'langsung', 'pasien', 'lgbt', 'sedih', 'kor']",negatif
"['lgbt', 'bincang', 'hangat', 'bukti', 'trending', 'lgbt', 'berturutturut']",negatif
"['dirs', 'dalam', 'cipta', 'ruh', 'allah', 'hembus', 'asma', 'allah', 'rosulnya', 'ruh', 'dah', 'brojol', 'emang', 'ruh']",negatif
"['hizo', 'herufi', 'za', 'lgbt', 'hawazijui', 'nini']",negatif
"['panggung', 'set', 'set', 'lapor', 'ras', 'ruhut', 'tau', 'bela', 'lgbt']",negatif
"['alam', 'pribadi', 'laku', 'kutuk', 'lgbt', 'thd', 'makasar', 'tahun', 'pulang']",negatif
"['istri', 'nabi', 'luth', 'azab', 'allah', 'laku', 'dukung', 'buat', 'lgbtkami']",negatif
"['kanjengraden', 'formula', 'sponsor', 'birlgbt', 'daerah', 'kadrun', 'padang', 'bogorpemerkosaan', 'massal', 'santrigabener', 'peluk']",negatif
"['pro', 'lgbtislamophobia']",negatif
"['bangga', 'lgbtsaya', 'orang', 'indonesia']",positif
"['pejaten', 'kaum', 'cebong', 'homo', 'lgbt', 'cokro', 'gagal', 'operasi', 'namakilurahsudah', 'sebar', 'grup', 'grup', 'wa']",negatif
"['darius', 'sinathrya', 'blakblakan', 'tuding', 'dukung', 'lgbt']",positif
"['dirs', 'pelintir', 'cuit', 'manusia', 'judul', 'berita', 'laku', 'lgbt', 'bentur']",positif
"['susah', 'bicara', 'lgbt', 'nyata', 'adil', 'orang']",negatif
"['gue', 'paksa', 'aku', 'hidup', 'damping']",negatif
"['mati', 'mbak', 'anggota', 'dewan', 'singgung', 'lgbt', 'rapat', 'paripurna', 'mbak', 'sua']",negatif
"['pesan', 'laku', 'dukung', 'lgbt', 'iya', 'akal', 'seha']",positif
"['ngakak', 'liat', 'lgbt', 'trending', 'kirain', 'koar', 'lgbt', 'pidanain', 'ngabrutttt']",negatif
"['pbnu', 'getol', 'bela', 'lgbt', 'aktivis', 'gerah', 'kafir', 'gemar', 'stigma', 'ulama']",negatif
"['sridianava', 'agama', 'islam', 'gerogot', 'syiah', 'yahudi', 'susup']",negatif
"['orang', 'komunis', 'pro', 'lgbtagama', 'halal', 'lgbt']",negatif
"['id', 'budayawan', 'muhammadiyah', 'umat', 'islam', 'wajib', 'lawan', 'lgbt']",negatif
"['kamu', 'sumut', 'orang', 'tua', 'lgbt', 'kamu', 'cuma', 'koar', 'kerja', 'nyepil', 'gitu', 'bilang', 'buzzerp']",negatif
"['perilaku', 'lgbt', 'perspektif', 'hukum', 'indonesia', 'thread']",negatif
"['walah', 'logika', 'ni', 'bahas', 'lgbt', 'vs', 'babi', 'alkohol', 'pake', 'standar', 'apel', 'apelkalo', 'babi', 'alkohol']",negatif
"['konsep', 'islam', 'ttg', 'lgbt', 'islam', 'haram', 'lgbt', 'fitrah', 'pria', 'wanita', 'shg', 'lgbt', 'larang', 'mungkar', 'agr']",negatif
"['iya', 'bahas', 'lgbt']",positif
"['suka', 'sikap', 'dukung', 'aji', 'bubar']",positif
"['lgbt', 'benar', 'harga', 'ada', 'dasar', 'lgbt']",negatif
"['marm', 'nabi', 'kutuk', 'lgbt', 'lu', 'agus', 'nyuruh', 'hormat', 'lgbt', 'pala', 'lo', 'bauk', 'agus']",negatif
"['tuju', 'komentar', 'lgbt', 'ibhrs', 'retweet', 'gus', 'nadir', 'like', 'https']",negatif
"['anjing', 'trending', 'lgbt']",negatif
"['langsung', 'web', 'boskuh', 'bonus', 'garansi', 'potonganlink', 'daftar']",positif
"['calon', 'plecidenkenapa', 'laku', 'bginiapa', 'dukun']",positif
"['tim', 'lgbt', 'sempetin', 'nunjukin', 'dukung']",positif
"['penuh', 'tugas', 'nulis', 'judul', 'lgbt', 'negeri', 'adat', 'bahas']",positif
"['bullshit', 'lgbt', 'takdir']",negatif
"['bahaya', 'lgbt']",negatif
"['apani', 'lgbt', 'apani']",negatif
"['diwakanda', 'ormas', 'ngaku', 'islam', 'tp', 'swmua', 'larang', 'islam', 'dukung', 'ulama', 'islam', 'dihinaka']",negatif
"['pejaten', 'lurah', 'istana', 'spesies', 'lgbt', 'bongdrun', 'selebtwit', 'nyaterutama', 'kaum', 'bodoh', 'gratis', 'cebongkalian', 'bis']",negatif
"['hilang', 'hormat', 'maksud', 'lihat', 'harga']",positif
"['sridianava', 'haloo', 'warga', 'sampe', 'anak', 'cucu']",positif
"['serah', 'lgbt', 'dosa', 'simpang', 'salah', 'apa', 'gada']",positif
"['cemilan', 'lgbt']",positif
"['jano', 'lgbt', 'singkatan', 'min']",negatif
"['organisasi', 'sehat', 'dunia', 'who', 'ingat', 'sakit', 'cacar', 'monyet', 'monkeypox', 'lonjak']",positif
"['blazer', 'set', 'ngantor', 'rating']",positif
"['respons', 'mahfud', 'komisi', 'iii', 'dpr', 'pasti', 'lgbtzina', 'masuk', 'draf', 'rkuhpyes']",negatif
"['kader', 'muhammadiyah', 'sindir', 'tum', 'pbnu', 'bendera', 'lgbt', 'urus', 'gilir', 'bendera', 'tauhid', 'urus']",negatif
"['menko', 'polhukam', 'mahfud', 'md', 'lgbt', 'pidana', 'masuk', 'rkuhp', 'rkuhp', 'kat']",negatif
['lgbt'],positif
"['bela', 'bain', 'kaum', 'sodom', 'gay', 'lesbi', 'lgbt', 'girang']",positif
"['gus', 'nadir', 'lgbt', 'bawa', 'roh', 'suci', 'peristiwa', 'nyata', 'tengah', 'deddy', 'unda']",negatif
"['salah', 'nindak', 'ngehukum', 'emang', 'jahat']",positif
"['heran', 'mana', 'akal', 'sehat', 'cek', 'fakta', 'cuit', 'gus', 'nadir', 'lgbt']",negatif
"['bima', 'kader', 'muhammadiyah', 'sindir', 'tum', 'pbnu', 'bendera', 'lgbt', 'urus', 'gilir', 'bendera', 'tauhid', 'urus']",negatif
"['silalahi', 'gilir', 'lgbt', 'lantang', 'suara', 'hormat', 'hak', 'gilir', 'tanah', 'rakyat', 'rampas', 'upah', 'murah']",positif
"['lgbt', 'mati', 'mic', 'gimana', 'bela', 'nasib', 'muslim', 'indonesia', 'tutup', 'pintu', 'kantor', 'dpr']",negatif
"['pejaten', 'lgbt', 'jangkit', 'level', 'tengah', 'atascoba', 'berani', 'ketua', 'dprri', 'foto', 'publik']",negatif
"['ngomongin', 'lgbt', 'babi', 'heboh', 'dosa']",negatif
"['james', 'martin', 'sj', 'ruang', 'jumpa', 'gereja', 'komunitas', 'lgbt', 'via', 'net']",negatif
"['pejaten', 'kaum', 'bong', 'lgbt', 'cokro', 'tvkok', 'lapor', 'polda', 'metro', 'lurah', 'istanakatanya', 'lurah', 'istana', 'dil']",negatif
"['pejaten', 'lgbt', 'lesbian', 'gay', 'bisexsual', 'transgenderpenyakit', 'terlaknatrasulullah', 'shalallahu', 'alaihi', 'wasallam', 'bers']",negatif
"['gw', 'lgbt', 'tantang', 'tantang', 'mana', 'ubah', 'normal', 'tantang', 'mana']",positif
"['uu', 'zina', 'laku', 'zina', 'kibar', 'bendera', 'satu', 'tukang', 'zina', 'konyol']",negatif
"['surga', 'buron', 'korupsi', 'indonesia', 'singapore', 'surga', 'negara', 'broker', 'miskin', 'sda']",positif
"['partai', 'lgbt', 'bro', 'nama', 'partai', 'rakyat', 'cocok']",negatif
"['kader', 'muhammadiyah', 'sindir', 'tum', 'pbnu', 'bendera', 'lgbt', 'urus', 'gilir', 'bendera', 'tauhid', 'urus']",negatif
"['mari', 'dukung', 'tetap', 'rkuhp', 'atur', 'hukum', 'pidana', 'laku', 'lgbt', 'https']",negatif
"['masak', 'dpr', 'kalah', 'tekan', 'lsm']",negatif
"['lahh', 'udah', 'lgbt', 'simpang', 'ideologi', 'indonesia', 'sila']",negatif
"['bingung', 'lgbt']",positif
"['lildove', 'tolol', 'bener', 'nyesel', 'gua', 'nungguin', 'taun', 'liat', 'plot', 'cacat', 'ala', 'netflix', 'suka', 'campaign', 'lgbt']",negatif
"['ngeri', 'kuat', 'lindung', 'lgbt', 'alas', 'ham']",positif
"['muslim', 'tolak', 'nama', 'lgbt',, 'bis']",negatif
"['mulut', 'sampah', 'bisa', 'kritik', 'kerja', 'berangan', 'nonton', 'kaum', 'simpang', 'alias', 'lgbt']",positif
